code,fund_sum
000001.XSHE,196.36697786829998
000002.XSHE,166.55800811619997
000009.XSHE,85.44413884720005
000012.XSHE,12.898658172400001
000026.XSHE,0.23672097420000002
000027.XSHE,0.24097024
000028.XSHE,0.7514016
000032.XSHE,0.009999000000000001
000034.XSHE,0.18709031760000003
000039.XSHE,3.1298498503
000049.XSHE,0.0011979900000000001
000059.XSHE,0.49758800000000003
000060.XSHE,0.012825
000063.XSHE,86.02775839020002
000066.XSHE,0.6422902156
000069.XSHE,12.964365800400003
000089.XSHE,0.4242746664
000090.XSHE,0.02491992
000100.XSHE,6.477208227999999
000155.XSHE,3.61917765
000157.XSHE,2.4769305
000166.XSHE,6.84639395
000301.XSHE,95.05952924200002
000333.XSHE,250.19273623200013
000338.XSHE,34.211038053900005
000400.XSHE,4.921087743
000401.XSHE,4.7518522623
000402.XSHE,0.10170024
000403.XSHE,5.961729792000001
000408.XSHE,0.02082706
000419.XSHE,0.03990196
000420.XSHE,0.25835953
000422.XSHE,0.1961424
000423.XSHE,1.6467472109999999
000425.XSHE,1.6454002854000003
000429.XSHE,1.0682827252000002
000488.XSHE,0.02140842
000498.XSHE,0.3113514478
000501.XSHE,2.4223157192
000507.XSHE,0.29259153
000513.XSHE,6.256369920600001
000516.XSHE,14.695034363700003
000519.XSHE,18.5443598329
000526.XSHE,0.306222552
000528.XSHE,0.02537288
000537.XSHE,8.674814408999998
000538.XSHE,20.179494565999995
000539.XSHE,0.19576546079999999
000543.XSHE,0.24415787
000544.XSHE,0.01883646
000546.XSHE,0.16687778
000547.XSHE,7.696782779399999
000553.XSHE,0.0349520613
000555.XSHE,0.1410871
000563.XSHE,0.2841177432
000568.XSHE,570.6196200460005
000581.XSHE,0.7206902620000001
000582.XSHE,0.11136807
000591.XSHE,7.5050086269
000596.XSHE,191.559562014
000598.XSHE,1.1118104306
000603.XSHE,3.1500995336
000605.XSHE,0.041392208
000615.XSHE,0.00702402
000623.XSHE,0.144824
000625.XSHE,16.282827153000003
000629.XSHE,1.1722691061000001
000630.XSHE,4.908960347800001
000631.XSHE,0.1045792836
000635.XSHE,1.06253903
000636.XSHE,10.8469976048
000650.XSHE,6.7079999763
000651.XSHE,26.2221684
000652.XSHE,0.00772148
000656.XSHE,4.699988683199999
000657.XSHE,8.392742531600001
,0.0113683475
000661.XSHE,167.03946899580006
000671.XSHE,2.0783433456
000672.XSHE,0.74122308
000681.XSHE,0.08211246059999999
000683.XSHE,23.049942384
000685.XSHE,0.08676061060000001
000686.XSHE,0.09227196
000690.XSHE,0.18134349
000703.XSHE,0.10108500000000001
000708.XSHE,10.464952685
000709.XSHE,0.8536045600000001
000718.XSHE,1.7544375839999997
000723.XSHE,5.2917613098
000725.XSHE,84.943076449
000728.XSHE,0.107060825
000731.XSHE,3.276614502
000733.XSHE,152.20929123679997
000738.XSHE,7.938924817800001
000739.XSHE,55.766814456399985
000761.XSHE,0.02080788
000762.XSHE,9.4673175134
000768.XSHE,17.7724145026
000776.XSHE,79.76083669280001
000778.XSHE,0.0313026
000782.XSHE,0.0097704
000783.XSHE,0.45928305
000785.XSHE,0.00187074
000786.XSHE,14.045434065
000789.XSHE,0.0105724744
000791.XSHE,0.21807408
000792.XSHE,17.613441051200002
000799.XSHE,185.1891512546
000800.XSHE,0.02546675
000807.XSHE,20.404815932700004
000818.XSHE,2.929388748
000822.XSHE,1.6682352018000002
000825.XSHE,11.877391433000001
000830.XSHE,9.361757472
000831.XSHE,4.279434999
000837.XSHE,0.00222
000839.XSHE,0.00187659
000848.XSHE,3.9345130950000002
000856.XSHE,0.00374697
000858.XSHE,1011.8762344096004
000860.XSHE,16.4900149104
000863.XSHE,0.00390311
000875.XSHE,0.0397505
000876.XSHE,3.8687729724000004
000877.XSHE,0.65926392
000878.XSHE,1.41041916
000885.XSHE,0.08417548
000887.XSHE,7.978559611200001
000893.XSHE,0.56742252
000895.XSHE,8.550863177999998
000897.XSHE,0.00776084
000898.XSHE,0.33935124
000902.XSHE,20.896562298000006
000906.XSHE,2.6068195895
000910.XSHE,7.520412479600001
000912.XSHE,2.1094290745
000913.XSHE,0.6735754432
000921.XSHE,6.0203892
000928.XSHE,0.5076642276
000930.XSHE,0.5962444281
000932.XSHE,6.775022829899999
000933.XSHE,9.509574408
000935.XSHE,1.2535469361
000937.XSHE,3.0917122478000003
000938.XSHE,9.943257022200001
000949.XSHE,0.0438858
000951.XSHE,7.2812844468
000959.XSHE,1.622478
000960.XSHE,0.41695336980000003
000961.XSHE,2.849803763
000963.XSHE,0.41592335120000007
000967.XSHE,0.06198705
000968.XSHE,4.157139888
000975.XSHE,6.301891996800002
000977.XSHE,10.677741407199997
000983.XSHE,14.8636506726
000987.XSHE,1.308549593
000988.XSHE,17.154988016599997
000990.XSHE,1.2080614448
000997.XSHE,0.07317657
000998.XSHE,22.825236152400002
000999.XSHE,1.3384644028000001
001208.XSHE,0.0002711684
001209.XSHE,4.2464e-05
001210.XSHE,3.6565e-05
001215.XSHE,0.05618191500000003
,0.012257823199999998
,0.018859344
001872.XSHE,0.061812
001914.XSHE,16.047080403800003
001965.XSHE,1.2414292331999999
001979.XSHE,22.1463788392
002001.XSHE,11.6947505272
002002.XSHE,1.02859488
002003.XSHE,1.1591143640000001
002004.XSHE,1.534803902
002007.XSHE,0.8187734879999999
002008.XSHE,25.0162503942
002009.XSHE,0.13160752
002010.XSHE,0.19271455
002011.XSHE,0.13782444
002013.XSHE,60.6993998968
002014.XSHE,0.035441021600000004
002019.XSHE,7.8722039496
002024.XSHE,0.033567730000000004
002025.XSHE,43.982592138899996
002026.XSHE,0.35404128
002027.XSHE,128.19678248679998
002028.XSHE,30.889467065599995
002030.XSHE,0.1927566
002032.XSHE,0.48300195239999993
002034.XSHE,0.540539419
002035.XSHE,0.33587442
002036.XSHE,14.517971761999998
002038.XSHE,0.22259022
002039.XSHE,0.39525262
002040.XSHE,0.04016519
002041.XSHE,11.209680388799999
002043.XSHE,3.4591621995
002044.XSHE,1.35573788
002046.XSHE,4.880559828
002048.XSHE,30.0001122673
002049.XSHE,272.98649212000004
002050.XSHE,41.15490807880002
002056.XSHE,0.71628768
002060.XSHE,1.5036484455
002061.XSHE,0.0221832
002063.XSHE,0.084483
002064.XSHE,5.4430832136000005
002065.XSHE,0.38372664
002074.XSHE,6.9795022467
002075.XSHE,0.46755702
002078.XSHE,37.129903839600004
002079.XSHE,0.0163833
002080.XSHE,26.928585654000003
002088.XSHE,18.2902292935
002091.XSHE,2.2998967935
002092.XSHE,2.9658375439999998
002100.XSHE,0.1548583
002105.XSHE,0.6798448384000001
002108.XSHE,0.9871770879000001
002110.XSHE,3.9918515148000004
002111.XSHE,3.210337215
002120.XSHE,43.038136295
002124.XSHE,0.5480891344000001
002126.XSHE,0.29502658
002127.XSHE,0.237999696
002128.XSHE,3.1039431318
002129.XSHE,122.22005971160004
002131.XSHE,0.5107348
002135.XSHE,0.86335562
002138.XSHE,17.348385249
002139.XSHE,2.596972616
002142.XSHE,290.66086751259985
002145.XSHE,21.371127753800003
002146.XSHE,0.24848064
002149.XSHE,0.097971
002152.XSHE,0.0787743
002153.XSHE,13.623529956399999
002154.XSHE,1.84978053
002155.XSHE,1.6203952138000002
002156.XSHE,0.5682683552
002157.XSHE,2.9936785549000002
002158.XSHE,3.1680844080000004
002159.XSHE,1.36566612
002163.XSHE,0.2500267
002170.XSHE,1.7793527336000001
002171.XSHE,1.13560575
002174.XSHE,0.3184737716
002176.XSHE,29.918462184000006
002179.XSHE,122.17004372960001
002180.XSHE,46.117300707
002182.XSHE,4.2772865832
002183.XSHE,3.947314077
002185.XSHE,0.32504690399999997
002187.XSHE,0.03912128
002191.XSHE,0.2795434904
002192.XSHE,78.11349556
002202.XSHE,8.1482029259
002203.XSHE,0.21545754
002206.XSHE,5.1181226872000005
002212.XSHE,3.09112576
002213.XSHE,0.42183248450000005
002214.XSHE,5.6386139894000005
002215.XSHE,0.5887395
002216.XSHE,0.092615166
002218.XSHE,0.08668172
002221.XSHE,3.8682659113
002223.XSHE,4.9610907444
002230.XSHE,33.825392589
002233.XSHE,0.27251592350000003
002234.XSHE,1.999532985
002236.XSHE,92.567458924
002237.XSHE,2.4468173868000003
002240.XSHE,69.63704824439999
002241.XSHE,132.44442385700003
002242.XSHE,0.409740198
002244.XSHE,0.596388892
002245.XSHE,19.2709784896
002249.XSHE,1.3699698884
002250.XSHE,1.51028749
002254.XSHE,13.205049578000002
002258.XSHE,2.075738
002261.XSHE,0.0047458
002262.XSHE,1.1719043958000002
002266.XSHE,8.8404195096
002268.XSHE,7.8892252275
002271.XSHE,158.97568672840004
002273.XSHE,0.07563410400000001
002274.XSHE,0.01134154
002283.XSHE,0.00247792
002286.XSHE,0.16812224
002291.XSHE,11.604858447000002
002292.XSHE,0.06347616
002294.XSHE,1.8751062204000002
002296.XSHE,0.01899616
002299.XSHE,4.489196904
002304.XSHE,356.2982930688
002311.XSHE,185.33256362
002312.XSHE,0.21430380000000002
002315.XSHE,4.1674293216
002317.XSHE,1.0291990896
002318.XSHE,13.005925295699999
002322.XSHE,0.00384532
002324.XSHE,0.6848195256
002326.XSHE,38.007465708800005
002327.XSHE,9.691572550900002
002332.XSHE,15.0530639856
002335.XSHE,0.00257334
002340.XSHE,16.275416735200004
002343.XSHE,0.06334444
002345.XSHE,0.82121314
002352.XSHE,119.856026199
002353.XSHE,110.46229444619999
002368.XSHE,0.13303736
002371.XSHE,279.4628443739001
002372.XSHE,14.714299322500002
002375.XSHE,6.373817885
002376.XSHE,2.5106819346
002382.XSHE,0.3093940864
002384.XSHE,2.1113308695999997
002385.XSHE,12.745220518799998
002386.XSHE,5.7135122889
002389.XSHE,13.173436726199999
002390.XSHE,6.0438909700000005
002392.XSHE,0.12810566720000002
002396.XSHE,5.4870962277999995
002398.XSHE,5.172556786
002402.XSHE,34.160051247999995
002404.XSHE,0.01984896
002405.XSHE,0.300816246
002407.XSHE,7.4405508970000005
002408.XSHE,4.530833135
002409.XSHE,32.30154791609999
002410.XSHE,134.7386469633
002413.XSHE,0.0007272
002414.XSHE,8.4743491724
002415.XSHE,626.0918686
002419.XSHE,0.022070160000000002
002422.XSHE,1.5709533933
002425.XSHE,3.760127199
002430.XSHE,13.914517904000002
002434.XSHE,1.5183835446
002436.XSHE,7.0005053429999995
002438.XSHE,3.8344035360000004
002439.XSHE,5.4044056968000005
002443.XSHE,0.0042224
002444.XSHE,38.857064049600005
002449.XSHE,0.96667116
002452.XSHE,1.254255308
002453.XSHE,1.49145864
002454.XSHE,3.4978796762
002455.XSHE,0.0772896
002456.XSHE,0.1735104
002458.XSHE,0.636802084
002459.XSHE,123.71422919800006
002460.XSHE,380.2750765293999
002462.XSHE,0.06502572440000001
002465.XSHE,0.25969664
002466.XSHE,284.01268639880004
002472.XSHE,6.2431071327
002475.XSHE,263.03595506650004
002479.XSHE,0.11814546000000001
002481.XSHE,9.63300191
002483.XSHE,0.0064332600000000005
002484.XSHE,11.011086888000003
002487.XSHE,12.4936827176
002493.XSHE,187.70747801599998
002495.XSHE,0.13100616
002497.XSHE,74.41792103599997
002498.XSHE,0.0040677000000000005
002500.XSHE,0.00160064
002505.XSHE,0.10139597
002507.XSHE,0.4705512025
002508.XSHE,10.070445346000001
002511.XSHE,0.04722624
002518.XSHE,0.895235198
002520.XSHE,0.4472307495
002527.XSHE,0.07746024
002529.XSHE,0.0312273
002531.XSHE,16.541980617500002
002532.XSHE,0.89807088
002534.XSHE,0.20797286
002538.XSHE,0.468308
002539.XSHE,3.0684641484000004
002541.XSHE,21.71129375
002542.XSHE,0.0077220000000000006
002543.XSHE,0.1061446932
002545.XSHE,0.059772
002548.XSHE,0.0113424
002549.XSHE,0.17754268399999998
002555.XSHE,44.120020127299995
002556.XSHE,0.00155448
002557.XSHE,4.6606644056
002558.XSHE,0.918979048
002559.XSHE,0.25687725
002563.XSHE,5.7311867212
002568.XSHE,123.03333630120001
002572.XSHE,1.0878181900000001
002579.XSHE,0.00613054
002582.XSHE,0.158202
002583.XSHE,0.067630056
002585.XSHE,7.612630521600001
002588.XSHE,0.21398868000000001
002594.XSHE,361.1818034243999
002595.XSHE,18.3112574395
002597.XSHE,10.410942596699998
002599.XSHE,2.2210974715
002601.XSHE,66.5443802232
002602.XSHE,4.853349126
002603.XSHE,0.38909876200000004
002605.XSHE,0.8198565984
002607.XSHE,0.8191474724000001
002608.XSHE,0.213738
002609.XSHE,5.729133569399999
002611.XSHE,0.020016
002612.XSHE,0.009842
002614.XSHE,1.0710589199
002615.XSHE,0.062284320000000004
002617.XSHE,0.00631426
002623.XSHE,3.0276473905000003
002624.XSHE,14.081869880000003
002625.XSHE,2.39724564
002626.XSHE,0.1356166
002635.XSHE,0.15034704000000002
002637.XSHE,0.20941774
002641.XSHE,0.039145126
002643.XSHE,28.492301601399994
002645.XSHE,1.5866833006
002646.XSHE,0.0174324
002648.XSHE,55.727087471100006
002649.XSHE,0.10297554
002651.XSHE,3.2057921836000003
002653.XSHE,0.6239587236
002655.XSHE,1.8760461258
002664.XSHE,0.807631958
002674.XSHE,0.061289790000000004
002675.XSHE,3.3312109632
002676.XSHE,0.0216627
002677.XSHE,3.2461276428000003
002678.XSHE,0.021990144
002690.XSHE,0.2469641579
002695.XSHE,0.0867
002697.XSHE,0.004112
002698.XSHE,7.710678455599999
002701.XSHE,0.77112508
002705.XSHE,16.327257102199997
002706.XSHE,8.7976135665
002709.XSHE,396.71623531419993
002713.XSHE,1.2324160264000001
002714.XSHE,90.86334559300002
002724.XSHE,1.1192206376999998
002727.XSHE,9.579141008400002
002732.XSHE,0.14830096
002736.XSHE,2.1155589660000005
002738.XSHE,2.82761289
002739.XSHE,0.510036637
002745.XSHE,8.7404822968
002747.XSHE,0.23412752
002749.XSHE,0.132098105
002751.XSHE,0.01959636
002752.XSHE,0.0595375535
002753.XSHE,0.04560208
002756.XSHE,74.1204228672
002759.XSHE,2.92884349
002774.XSHE,0.01148796
002777.XSHE,1.4670249843
002780.XSHE,0.01494
002786.XSHE,0.55179692
002787.XSHE,0.039497976000000004
002791.XSHE,19.943873879399998
002799.XSHE,0.0460569472
002805.XSHE,0.0301464
002807.XSHE,0.230469484
002810.XSHE,16.5007483184
002812.XSHE,384.3803234163997
002818.XSHE,0.31760961
002821.XSHE,419.6681170570001
002823.XSHE,0.229331148
002824.XSHE,0.00945945
002829.XSHE,0.0190275
002831.XSHE,12.706787923200002
002832.XSHE,27.431586809700004
002833.XSHE,2.895158105
002837.XSHE,2.4881330016000005
002839.XSHE,1.490716
002841.XSHE,72.99904485599998
002845.XSHE,0.7580216
002850.XSHE,27.390202731000006
002851.XSHE,7.6386999080999995
002855.XSHE,0.06360004
002859.XSHE,0.380532
002865.XSHE,2.0787551681000003
002867.XSHE,20.103329476500004
002870.XSHE,0.8994185256
002876.XSHE,13.073399461600001
002879.XSHE,5.5834139256
002881.XSHE,0.1360086
002884.XSHE,10.351608067199999
002891.XSHE,0.17883216
002895.XSHE,5.369197086000001
002897.XSHE,2.8961936280000002
002901.XSHE,0.123051348
002906.XSHE,1.01134176
002913.XSHE,3.0255316279999995
002916.XSHE,0.06087444
002918.XSHE,0.38427470399999997
002920.XSHE,33.8557525736
002922.XSHE,1.0404625
002925.XSHE,32.622872849
002926.XSHE,0.010450206
002928.XSHE,12.696473985
002929.XSHE,0.4728537
002930.XSHE,3.1566927524
002933.XSHE,0.4029361666
002935.XSHE,0.003784
002938.XSHE,18.719215891199998
002939.XSHE,0.2846336
002946.XSHE,0.385866
002948.XSHE,0.7588749100000001
002949.XSHE,0.238582498
002956.XSHE,0.06742302
002957.XSHE,1.920152789
002958.XSHE,0.17116
002959.XSHE,0.027104
002960.XSHE,1.9185858854999998
002961.XSHE,0.40754832
002966.XSHE,0.33761256
002967.XSHE,4.5068998073
002968.XSHE,6.1199030225
002970.XSHE,0.2294936
002978.XSHE,0.062811
002979.XSHE,0.81124482
002982.XSHE,0.8955258161999999
002984.XSHE,0.018663120000000002
002985.XSHE,28.01852445
002987.XSHE,0.8573685780000001
002993.XSHE,0.00546624
003012.XSHE,2.5376813962
003016.XSHE,0.56703152
003021.XSHE,1.7584274907
003022.XSHE,23.750749481
003025.XSHE,0.021316
003026.XSHE,0.20396088
003031.XSHE,0.0011366
003038.XSHE,3.5210022
003816.XSHE,9.083835539199999
,1.9194435399
300001.XSHE,0.15728793600000002
300002.XSHE,0.4205810642
300003.XSHE,12.220106364100001
300007.XSHE,4.0866315360000005
300009.XSHE,3.64559128
300012.XSHE,108.6994655725
300014.XSHE,365.31111557250017
300015.XSHE,478.9220799860004
300017.XSHE,0.00399168
300031.XSHE,0.01629584
300033.XSHE,13.281013767399998
300034.XSHE,16.317319657099997
300035.XSHE,41.598671492
300036.XSHE,2.4513783
300037.XSHE,185.72073185
300041.XSHE,0.0305
300049.XSHE,0.02397416
300054.XSHE,15.896306027099996
300055.XSHE,0.18780391
300057.XSHE,0.177744
300058.XSHE,3.2072391344
300059.XSHE,488.7273380041009
300065.XSHE,1.8020525304
300067.XSHE,0.5888076968
300070.XSHE,19.3515041916
300072.XSHE,0.07225108
300073.XSHE,64.601560672
300077.XSHE,5.5399921671
300079.XSHE,0.016416
300082.XSHE,0.7818656340000001
300083.XSHE,12.688865897200001
300087.XSHE,8.48673574
300088.XSHE,0.04878744
300101.XSHE,0.7875733544
300114.XSHE,0.5845362528
300115.XSHE,0.25824496
300118.XSHE,7.9465217476
300119.XSHE,11.6922786357
300121.XSHE,0.29380636
300122.XSHE,303.1664303157
300123.XSHE,1.02940692
300124.XSHE,116.25049568959999
300129.XSHE,0.17739309
300132.XSHE,0.4150741
300133.XSHE,10.5131747565
300137.XSHE,0.02082784
300138.XSHE,0.02574
300142.XSHE,37.38423590460001
300143.XSHE,3.8678971991999997
300144.XSHE,46.34959690239999
300145.XSHE,0.11840640000000001
300146.XSHE,7.5853215272000005
300149.XSHE,5.0506770006
300151.XSHE,1.835329732
300161.XSHE,0.1861974
300166.XSHE,0.3323603538
300168.XSHE,0.241794
300171.XSHE,40.2211232416
300179.XSHE,1.09306988
300182.XSHE,0.09350068
300183.XSHE,0.0181604
300185.XSHE,0.03272724
300188.XSHE,4.6185190016
300193.XSHE,6.892483536500001
300196.XSHE,2.9698030938
300203.XSHE,9.667619568
300206.XSHE,0.371402
300207.XSHE,117.65874813000002
300212.XSHE,2.8945591068
300213.XSHE,0.02020096
300215.XSHE,0.16965
300219.XSHE,0.26972736
300223.XSHE,46.69965761
300224.XSHE,0.01709136
300226.XSHE,0.015050550000000001
300227.XSHE,0.10724932000000001
300232.XSHE,0.1900771664
